word,len,freq,entropy,pmi
哥哥,2,0.00028267174304659454,2.397266865978182,326.08215034908454
你们,2,0.00027788069655427936,3.421881819116542,15.740032932459563
妖魔,2,0.00027788069655427936,3.3024358016637554,60.195488372863935
性命,2,0.00027628368105684097,3.011917524294865,409.7276124483713
变作,2,0.00027149263456452584,3.034048891665255,246.40528140812862
个小,2,0.00026989561906708745,2.5202578747676583,14.50892631162144
道士,2,0.00026829860356964905,2.873189358280509,43.01427372780309
师兄,2,0.00026510457257477226,2.928992564615377,80.59527549775063
行李,2,0.0002619105415798955,2.876633087092762,79.15558782676526
教他,2,0.00025392546409270356,3.4421168100863584,20.907318202025493
观看,2,0.0002507314330978268,2.037734194785151,111.73844293300355
如来,2,0.00024753740210295,3.230594690595307,11.559346314090233
弟子,2,0.00024753740210295,2.6352278951675334,32.375161573858634
